timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/19 12:52:42.738, P0, 71, 98 %, 76.84 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:42.943, P0, 71, 2 %, 64.69 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:43.147, P0, 71, 12 %, 59.67 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:43.352, P0, 70, 99 %, 59.59 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:43.557, P0, 70, 45 %, 85.33 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:43.761, P0, 70, 18 %, 60.11 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:44.006, P0, 57, 59 %, 84.52 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:44.225, P0, 57, 99 %, 85.66 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:44.428, P0, 57, 99 %, 86.16 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:44.632, P0, 71, 10 %, 69.93 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:44.837, P0, 71, 85 %, 71.11 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:45.041, P0, 71, 99 %, 86.71 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:45.245, P0, 68, 84 %, 78.66 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:45.450, P0, 68, 2 %, 53.71 W, 2550 MHz, 8101 MHz
2026/09/19 12:52:45.654, P0, 68, 76 %, 60.10 W, 2550 MHz, 8101 MHz
2026/09/19 12:52:45.858, P0, 72, 99 %, 90.65 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:46.062, P0, 72, 99 %, 90.21 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:46.266, P0, 72, 33 %, 58.72 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:46.470, P0, 58, 38 %, 64.32 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:46.675, P0, 58, 99 %, 69.91 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:46.879, P0, 58, 99 %, 73.67 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:47.082, P0, 74, 70 %, 63.59 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:47.285, P0, 74, 2 %, 60.82 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:47.490, P0, 74, 62 %, 67.36 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:47.694, P0, 57, 100 %, 82.34 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:47.901, P0, 57, 100 %, 83.10 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:48.111, P0, 57, 100 %, 82.76 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:48.315, P0, 71, 100 %, 83.60 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:48.523, P0, 71, 100 %, 83.52 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:48.728, P0, 71, 100 %, 83.25 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:48.933, P0, 71, 68 %, 59.01 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:49.138, P0, 71, 2 %, 49.49 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:49.342, P0, 71, 68 %, 57.37 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:49.546, P0, 68, 100 %, 82.40 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:49.750, P0, 68, 100 %, 82.59 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:49.954, P0, 68, 100 %, 83.26 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:50.157, P0, 71, 100 %, 83.61 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:50.361, P0, 71, 100 %, 83.94 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:50.586, P0, 71, 64 %, 62.01 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:50.796, P0, 58, 5 %, 23.40 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:51.001, P0, 58, 33 %, 46.60 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:51.221, P0, 58, 75 %, 38.88 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:51.438, P0, 60, 70 %, 68.60 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:51.643, P0, 60, 36 %, 26.43 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:51.848, P0, 60, 43 %, 43.86 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:52.052, P0, 61, 99 %, 78.06 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:52.256, P0, 61, 99 %, 72.94 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:52.460, P0, 61, 29 %, 58.04 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:52.664, P0, 71, 64 %, 60.85 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:52.869, P0, 71, 99 %, 79.16 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:53.073, P0, 71, 99 %, 79.19 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:53.277, P0, 57, 7 %, 47.80 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:53.481, P0, 57, 57 %, 61.48 W, 2565 MHz, 8101 MHz
2026/09/19 12:52:53.686, P0, 57, 99 %, 69.74 W, 2565 MHz, 8101 MHz
