timestamp, pstate, temperature.gpu, utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/19 17:48:18.936, P0, 64, 90 %, 23.54 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:19.140, P0, 64, 1 %, 56.49 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:19.345, P0, 64, 74 %, 79.88 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:19.549, P0, 74, 99 %, 90.46 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:19.753, P0, 74, 99 %, 58.96 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:19.988, P0, 74, 35 %, 23.91 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:20.191, P0, 59, 2 %, 75.07 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:20.395, P0, 59, 100 %, 85.82 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:20.656, P0, 71, 100 %, 83.54 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:20.860, P0, 71, 100 %, 83.46 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:21.063, P0, 71, 100 %, 83.35 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:21.268, P0, 71, 100 %, 83.39 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:21.472, P0, 71, 100 %, 83.88 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:21.682, P0, 71, 29 %, 40.29 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:21.887, P0, 72, 5 %, 32.44 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:22.091, P0, 72, 100 %, 82.57 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:22.295, P0, 72, 100 %, 82.85 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:22.499, P0, 71, 100 %, 83.00 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:22.703, P0, 71, 100 %, 83.13 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:22.907, P0, 71, 100 %, 83.20 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:23.111, P0, 72, 100 %, 83.27 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:23.315, P0, 72, 100 %, 80.64 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:23.520, P0, 72, 24 %, 69.74 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:23.724, P0, 62, 6 %, 32.44 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:23.928, P0, 62, 61 %, 69.43 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:24.133, P0, 62, 45 %, 63.34 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:24.336, P0, 70, 98 %, 28.90 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:24.556, P0, 70, 8 %, 31.54 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:24.761, P0, 70, 69 %, 50.65 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:24.965, P0, 70, 99 %, 58.58 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:25.168, P0, 70, 98 %, 26.92 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:25.373, P0, 70, 1 %, 46.16 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:25.577, P0, 68, 90 %, 63.44 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:25.782, P0, 68, 99 %, 68.86 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:25.986, P0, 68, 77 %, 61.27 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:26.190, P0, 61, 82 %, 98.10 W, 2565 MHz, 8101 MHz
2026/09/19 17:48:26.396, P0, 61, 99 %, 98.04 W, 2550 MHz, 8101 MHz
